CountryId,Country,RegionId
1,Indonesia,1
2,Malaysia,1
3,Singapore,1
4,Thailand,1
5,Vietnam,1
6,Philippines,1
7,India,2
8,Sri Lanka,2
9,Nepal,2
10,Bangladesh,2
11,Pakistan,2
12,China,3
13,Japan,3
14,South Korea,3
15,Taiwan,3
16,United Arab Emirates,4
17,Saudi Arabia,4
18,Israel,4
19,Turkey,4
20,France,5
21,Germany,5
22,Netherlands,5
23,Belgium,5
24,Italy,6
25,Spain,6
26,Greece,6
27,Portugal,6
28,United Kingdom,7
29,Sweden,7
30,Norway,7
31,Denmark,7
32,Poland,8
33,Czech Republic,8
34,Hungary,8
35,Romania,8
36,United States,9
37,Canada,9
38,Mexico,9
39,Costa Rica,10
40,Panama,10
41,Guatemala,10
42,Jamaica,11
43,Cuba,11
44,Dominican Republic,11
45,Brazil,12
46,Argentina,12
47,Peru,12
48,Chile,12
49,Colombia,12
50,Kenya,13
51,Tanzania,13
52,Uganda,13
53,Ethiopia,13
54,Nigeria,14
55,Ghana,14
56,Senegal,14
57,South Africa,15
58,Botswana,15
59,Namibia,15
60,Egypt,16
61,Morocco,16
62,Tunisia,16
63,Australia,17
64,New Zealand,17
65,Fiji,18
66,Papua New Guinea,18
