TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating
1,2224,2021,4,Friends,116,4.0
2,1774,2021,10,Family,34,5.0
3,2246,2022,1,Solo,230,5.0
4,1927,2023,5,Family,30,5.0
5,1317,2024,1,Couples,143,5.0
6,834,2024,5,Family,52,5.0
7,1513,2020,12,Family,30,4.0
8,760,2022,4,Family,172,4.0
9,1397,2022,10,Solo,118,5.0
10,481,2023,5,Friends,103,5.0
11,1660,2024,7,family,88,5.0
12,724,2022,2,Couples,335,5.0
13,838,2024,4,Couples,8,5.0
14,1442,2023,7,Friends,85,5.0
15,545,2021,11,Friends,219,3.0
16,2889,2023,6,Couples,307,4.0
17,1261,2023,1,Business,22,5.0
18,985,2024,7,Couples,11,4.0
19,117,2023,1,Couples,202,4.0
20,2512,2022,8,Family,151,2.0
21,1826,2020,10,Family,56,4.0
22,1155,2024,9,Couples,38,5.0
23,724,2023,4,Business,265,5.0
24,2220,2023,11,Solo,88,4.0
25,2858,2024,3,Family,215,4.0
26,1060,2023,5,Family,292,4.0
27,448,2024,7,Couples,4,5.0
28,355,2020,8,Couples,240,4.0
29,23,2022,7,Couples,250,5.0
30,2215,2020,2,Couples,195,5.0
31,2941,2020,4,Family,52,4.0
32,2980,2024,11,Couples,265,4.0
33,2332,2021,11,Family,326,5.0
34,544,2023,8,Family,107,4.0
35,2932,2024,6,Couples,104,3.0
36,927,2022,6,Family,230,5.0
37,953,2024,1,Friends,326,5.0
38,2026,2023,7,Family,326,5.0
39,172,2021,2,Family,69,5.0
40,2458,2024,6,Couples,202,5.0
41,2994,2023,5,Family,116,3.0
42,2304,2024,9,Friends,25,5.0
43,2324,2022,1,Couples,2,4.0
44,1090,2021,6,Family,88,
45,221,2021,12,Family,101,4.0
46,2360,2024,3,Solo,241,5.0
47,1752,2021,4,Friends,293,5.0
48,2732,2022,5,Couples,318,5.0
49,383,2023,12,Family,246,5.0
50,877,2020,5,Couples,50,4.0
51,994,2023,3,Business,223,5.0
52,2011,2022,8,Couples,52,4.0
53,2344,2023,5,Couples,50,5.0
54,2886,2024,7,Solo,327,4.0
55,843,2024,11,Family,50,3.0
56,1422,2022,12,Family,143,5.0
57,116,2024,12,Business,297,5.0
58,743,2022,2,Business,242,3.0
59,1033,2021,1,FRIENDS,195,5.0
60,1740,2021,10,Business,104,4.0
61,1350,2020,6,Family,50,5.0
62,1011,2024,9,Couples,326,4.0
63,1819,2024,1,Solo,303,4.0
64,2470,2022,5,Family,326,4.0
65,724,2023,1,Solo,255,4.0
66,967,2023,9,Couples,326,5.0
67,2085,2020,2,Friends,53,4.0
68,2310,2024,12,Couples,326,5.0
69,2457,2024,4,Family,52,4.0
70,669,2021,3,Solo,147,3.0
71,1560,2024,5,Family,244,3.0
72,2697,2022,1,Friends,323,4.0
73,1097,2023,6,Couples,283,4.0
74,1201,2023,2,Couples,326,5.0
75,2954,2024,1,Couples,10,5.0
76,367,2024,5,Solo,169,5.0
77,2089,2022,6,Friends,337,5.0
78,2526,2024,5,Friends,56,5.0
79,499,2023,4,Friends,193,4.0
80,2118,2022,10,Couples,51,4.0
81,1345,2023,7,Family,237,5.0
82,2536,2023,9,Couples,142,5.0
83,2724,2024,12,Solo,279,4.0
